booking_id,booking_date,checkin_date,checkout_date,client_id,client_name,service_id,service_name,service_category,destination,agent_id,agent_name,status,pax,nights,revenue,cost,currency
BK-025001,2025-01-17,2025-01-28,2025-01-29,1,Sakura Travel Group,7,Nice Coastal Tour,Tour,Nice,8,Thomas Roux,Completed,3,1,236.99,164.31,EUR
BK-025002,2025-01-03,2025-03-13,2025-03-16,11,Roma Viaggi SRL,9,Lyon Food Tour,Tour,Lyon,6,Nicolas Petit,Completed,1,3,166.29,130.42,EUR
BK-025003,2025-01-23,2025-04-19,2025-04-21,3,Pacific Coast Tours,17,Strasbourg Christmas Tour,Tour,Strasbourg,7,Isabelle Leroy,Completed,8,2,1458.69,1119.59,EUR
BK-025004,2025-01-12,2025-02-27,2025-03-09,19,Amazon Corp Travel,20,Hotel Negresco Nice,Accommodation,Nice,2,Pierre Martin,Completed,10,10,18235.5,13789.42,EUR
BK-025005,2025-01-13,2025-01-21,2025-01-24,7,Beijing Star International,6,Chateau Stay Bordeaux,Accommodation,Bordeaux,7,Isabelle Leroy,Completed,5,3,5182.94,3591.91,EUR
BK-025006,2025-01-26,2025-03-12,2025-03-14,8,Nordic Explorers AB,4,Seine River Cruise,Tour,Paris,8,Thomas Roux,Cancelled,11,2,557.48,344.09,EUR
BK-025007,2025-01-09,2025-01-29,2025-01-30,14,Direct Client - Web,10,Mont Blanc Excursion,Tour,Chamonix,3,Sophie Laurent,Completed,7,0,557.41,375.9,EUR
BK-025008,2025-01-09,2025-02-13,2025-02-14,5,Gulf Luxury Travel,5,Wine Tasting Bordeaux,Tour,Bordeaux,2,Pierre Martin,Completed,3,1,455.88,265.69,EUR
BK-025009,2025-01-26,2025-04-12,2025-04-16,17,Andalucia Sun Tours,16,Hotel Vieux Lyon,Accommodation,Lyon,2,Pierre Martin,Completed,11,4,12223.06,9174.08,EUR
BK-025010,2025-01-30,2025-03-01,2025-03-04,7,Beijing Star International,9,Lyon Food Tour,Tour,Lyon,2,Pierre Martin,Completed,8,3,792.0,441.79,EUR
BK-025011,2025-01-30,2025-03-18,2025-03-19,18,Thai Smile Holidays,18,Marseille Port Tour,Tour,Marseille,6,Nicolas Petit,Completed,1,1,125.92,75.73,EUR
BK-025012,2025-01-04,2025-01-08,2025-01-10,7,Beijing Star International,10,Mont Blanc Excursion,Tour,Chamonix,6,Nicolas Petit,Completed,2,2,389.58,245.22,EUR
BK-025013,2025-01-07,2025-04-04,2025-04-05,3,Pacific Coast Tours,10,Mont Blanc Excursion,Tour,Chamonix,8,Thomas Roux,Cancelled,2,1,281.63,222.74,EUR
BK-025014,2025-01-29,2025-03-19,2025-04-01,7,Beijing Star International,8,Hotel Promenade Nice,Accommodation,Nice,6,Nicolas Petit,Completed,5,13,13031.5,7444.62,EUR
BK-025015,2025-01-09,2025-02-06,2025-02-17,17,Andalucia Sun Tours,8,Hotel Promenade Nice,Accommodation,Nice,3,Sophie Laurent,Completed,6,11,10674.0,7164.29,EUR
