booking_id,booking_date,checkin_date,checkout_date,client_id,client_name,service_id,service_name,service_category,destination,agent_id,agent_name,status,pax,nights,revenue,cost,currency
BK-000001,2020-01-04,2020-01-08,2020-01-09,8,Nordic Explorers AB,9,Lyon Food Tour,Tour,Lyon,3,Sophie Laurent,Completed,12,1,784.49,576.73,EUR
BK-000002,2020-01-19,2020-03-14,2020-03-15,1,Sakura Travel Group,2,Airport Transfer,Transfer,Paris,2,Pierre Martin,Completed,4,0,231.68,162.29,EUR
BK-000003,2020-01-23,2020-04-16,2020-04-19,8,Nordic Explorers AB,18,Marseille Port Tour,Tour,Marseille,8,Thomas Roux,Completed,10,3,917.29,703.86,EUR
BK-000004,2020-01-06,2020-04-05,2020-04-07,9,Maple Leaf Journeys,14,Versailles Day Trip,Tour,Versailles,3,Sophie Laurent,Completed,4,2,774.33,491.04,EUR
BK-000005,2020-01-04,2020-02-19,2020-02-20,20,Swiss Premium Tours,12,TGV Train Booking,Transfer,Multi-city,5,Camille Moreau,Cancelled,1,0,117.57,80.42,EUR
BK-000006,2020-01-13,2020-01-24,2020-01-26,20,Swiss Premium Tours,18,Marseille Port Tour,Tour,Marseille,6,Nicolas Petit,Completed,10,2,788.43,447.35,EUR
BK-000007,2020-01-25,2020-03-03,2020-03-17,8,Nordic Explorers AB,3,Hotel Le Marais,Accommodation,Paris,2,Pierre Martin,Completed,7,14,15195.18,10772.18,EUR
BK-000008,2020-01-12,2020-02-27,2020-02-29,3,Pacific Coast Tours,7,Nice Coastal Tour,Tour,Nice,3,Sophie Laurent,Completed,9,2,1434.32,847.47,EUR
BK-000009,2020-01-30,2020-04-21,2020-04-22,11,Roma Viaggi SRL,18,Marseille Port Tour,Tour,Marseille,1,Marie Dubois,Completed,4,1,693.08,520.68,EUR
BK-000010,2020-01-03,2020-01-31,2020-02-02,7,Beijing Star International,19,Ski Package Alps,Tour,Chamonix,8,Thomas Roux,Completed,7,2,1278.92,908.95,EUR
BK-000011,2020-01-05,2020-02-06,2020-02-08,19,Amazon Corp Travel,18,Marseille Port Tour,Tour,Marseille,7,Isabelle Leroy,Cancelled,10,2,1099.1,664.77,EUR
BK-000012,2020-01-17,2020-03-21,2020-04-03,2,Alpine Adventures GmbH,3,Hotel Le Marais,Accommodation,Paris,2,Pierre Martin,Completed,3,13,9727.01,7276.0,EUR
BK-000013,2020-01-03,2020-02-22,2020-02-23,20,Swiss Premium Tours,13,Private Car Service,Transfer,Multi-city,8,Thomas Roux,Cancelled,9,0,541.53,372.74,EUR
BK-000014,2020-01-22,2020-02-06,2020-02-08,11,Roma Viaggi SRL,18,Marseille Port Tour,Tour,Marseille,2,Pierre Martin,Cancelled,5,2,576.07,382.18,EUR
BK-000015,2020-01-29,2020-03-03,2020-03-04,17,Andalucia Sun Tours,17,Strasbourg Christmas Tour,Tour,Strasbourg,2,Pierre Martin,Completed,11,1,1042.43,739.85,EUR
