booking_id,booking_date,checkin_date,checkout_date,client_id,client_name,service_id,service_name,service_category,destination,agent_id,agent_name,status,pax,nights,revenue,cost,currency
BK-015001,2023-01-10,2023-02-28,2023-03-01,10,Seoul Wanderers Co.,2,Airport Transfer,Transfer,Paris,3,Sophie Laurent,Completed,3,0,442.25,289.56,EUR
BK-015002,2023-01-21,2023-03-01,2023-03-02,1,Sakura Travel Group,13,Private Car Service,Transfer,Multi-city,2,Pierre Martin,Completed,10,0,405.74,247.16,EUR
BK-015003,2023-01-24,2023-04-15,2023-04-17,16,Mumbai Getaways Pvt,7,Nice Coastal Tour,Tour,Nice,3,Sophie Laurent,Completed,5,2,426.16,293.87,EUR
BK-015004,2023-01-16,2023-03-10,2023-03-11,6,Southern Cross Holidays,18,Marseille Port Tour,Tour,Marseille,6,Nicolas Petit,Completed,2,1,324.84,188.91,EUR
BK-015005,2023-01-31,2023-02-24,2023-02-25,15,Horizon Corp Events,13,Private Car Service,Transfer,Multi-city,1,Marie Dubois,Completed,9,0,693.34,453.84,EUR
BK-015006,2023-01-30,2023-03-16,2023-03-17,5,Gulf Luxury Travel,13,Private Car Service,Transfer,Multi-city,3,Sophie Laurent,Completed,5,0,740.14,584.04,EUR
BK-015007,2023-01-15,2023-03-09,2023-03-12,17,Andalucia Sun Tours,18,Marseille Port Tour,Tour,Marseille,5,Camille Moreau,Completed,10,3,940.18,626.88,EUR
BK-015008,2023-01-06,2023-03-22,2023-03-23,7,Beijing Star International,2,Airport Transfer,Transfer,Paris,6,Nicolas Petit,Completed,1,0,34.38,27.29,EUR
BK-015009,2023-01-17,2023-02-25,2023-02-28,10,Seoul Wanderers Co.,17,Strasbourg Christmas Tour,Tour,Strasbourg,3,Sophie Laurent,Completed,3,3,255.88,196.01,EUR
BK-015010,2023-01-10,2023-01-17,2023-01-20,13,Direct Client - Walk-in,10,Mont Blanc Excursion,Tour,Chamonix,3,Sophie Laurent,Completed,2,3,145.24,92.09,EUR
BK-015011,2023-01-27,2023-03-01,2023-03-13,12,Kiwi Adventures Ltd,20,Hotel Negresco Nice,Accommodation,Nice,3,Sophie Laurent,Completed,6,12,10751.76,8025.26,EUR
BK-015012,2023-01-13,2023-04-08,2023-04-10,3,Pacific Coast Tours,9,Lyon Food Tour,Tour,Lyon,2,Pierre Martin,Completed,2,2,301.17,211.76,EUR
BK-015013,2023-01-18,2023-03-30,2023-04-08,5,Gulf Luxury Travel,3,Hotel Le Marais,Accommodation,Paris,8,Thomas Roux,Completed,4,9,2904.51,2083.03,EUR
BK-015014,2023-01-08,2023-02-21,2023-02-23,17,Andalucia Sun Tours,19,Ski Package Alps,Tour,Chamonix,3,Sophie Laurent,Completed,12,2,716.59,486.71,EUR
BK-015015,2023-01-14,2023-03-24,2023-03-27,13,Direct Client - Walk-in,1,City Walking Tour,Tour,Paris,5,Camille Moreau,Completed,1,3,102.1,58.67,EUR
BK-015016,2023-01-02,2023-01-26,2023-01-29,12,Kiwi Adventures Ltd,3,Hotel Le Marais,Accommodation,Paris,5,Camille Moreau,Completed,4,3,3087.1,1913.2,EUR
BK-015017,2023-01-06,2023-02-07,2023-02-08,13,Direct Client - Walk-in,1,City Walking Tour,Tour,Paris,1,Marie Dubois,Completed,5,0,708.48,558.12,EUR
BK-015018,2023-01-27,2023-02-27,2023-03-02,4,Voyages Lumiere,16,Hotel Vieux Lyon,Accommodation,Lyon,7,Isabelle Leroy,Completed,1,3,1039.84,624.59,EUR
BK-015019,2023-01-23,2023-02-18,2023-02-21,18,Thai Smile Holidays,4,Seine River Cruise,Tour,Paris,1,Marie Dubois,Cancelled,2,3,126.84,78.51,EUR
BK-015020,2023-01-07,2023-02-15,2023-03-01,4,Voyages Lumiere,16,Hotel Vieux Lyon,Accommodation,Lyon,4,Jean-Luc Bernard,Completed,2,14,7911.61,5333.18,EUR
BK-015021,2023-01-27,2023-03-28,2023-03-31,2,Alpine Adventures GmbH,18,Marseille Port Tour,Tour,Marseille,2,Pierre Martin,Completed,11,3,1800.16,1387.97,EUR
BK-015022,2023-01-31,2023-03-18,2023-03-31,2,Alpine Adventures GmbH,20,Hotel Negresco Nice,Accommodation,Nice,5,Camille Moreau,Cancelled,2,13,6164.48,3829.52,EUR
BK-015023,2023-01-15,2023-03-24,2023-03-26,1,Sakura Travel Group,11,D-Day Normandy Tour,Tour,Normandy,2,Pierre Martin,Completed,2,2,161.81,106.7,EUR
BK-015024,2023-01-17,2023-02-08,2023-02-09,16,Mumbai Getaways Pvt,4,Seine River Cruise,Tour,Paris,3,Sophie Laurent,Completed,9,0,1163.45,892.14,EUR
BK-015025,2023-01-24,2023-01-25,2023-01-28,15,Horizon Corp Events,16,Hotel Vieux Lyon,Accommodation,Lyon,1,Marie Dubois,Completed,12,3,5083.5,2938.2,EUR
BK-015026,2023-01-14,2023-01-18,2023-01-19,20,Swiss Premium Tours,18,Marseille Port Tour,Tour,Marseille,8,Thomas Roux,Completed,3,0,208.4,125.19,EUR
BK-015027,2023-01-25,2023-04-11,2023-04-12,9,Maple Leaf Journeys,13,Private Car Service,Transfer,Multi-city,8,Thomas Roux,Completed,8,0,983.9,672.86,EUR
BK-015028,2023-01-27,2023-02-26,2023-02-27,15,Horizon Corp Events,2,Airport Transfer,Transfer,Paris,7,Isabelle Leroy,Completed,9,0,1202.35,931.72,EUR
BK-015029,2023-01-26,2023-03-04,2023-03-05,18,Thai Smile Holidays,18,Marseille Port Tour,Tour,Marseille,6,Nicolas Petit,Completed,6,0,718.97,569.83,EUR
BK-015030,2023-01-06,2023-03-31,2023-04-02,7,Beijing Star International,9,Lyon Food Tour,Tour,Lyon,3,Sophie Laurent,Completed,4,2,725.8,574.11,EUR
BK-015031,2023-01-27,2023-02-12,2023-02-13,19,Amazon Corp Travel,13,Private Car Service,Transfer,Multi-city,1,Marie Dubois,Completed,7,0,716.07,530.5,EUR
BK-015032,2023-01-28,2023-03-28,2023-03-31,16,Mumbai Getaways Pvt,9,Lyon Food Tour,Tour,Lyon,1,Marie Dubois,Completed,7,3,1190.89,858.11,EUR
