booking_id,booking_date,checkin_date,checkout_date,client_id,client_name,service_id,service_name,service_category,destination,agent_id,agent_name,status,pax,nights,revenue,cost,currency
BK-005001,2021-01-08,2021-01-26,2021-01-27,18,Thai Smile Holidays,13,Private Car Service,Transfer,Multi-city,5,Camille Moreau,Cancelled,11,0,520.18,374.18,EUR
BK-005002,2021-01-26,2021-04-19,2021-04-20,1,Sakura Travel Group,12,TGV Train Booking,Transfer,Multi-city,3,Sophie Laurent,Completed,2,0,70.03,48.54,EUR
BK-005003,2021-01-18,2021-01-29,2021-01-30,12,Kiwi Adventures Ltd,10,Mont Blanc Excursion,Tour,Chamonix,4,Jean-Luc Bernard,Completed,7,1,1300.91,992.42,EUR
BK-005004,2021-01-06,2021-02-04,2021-02-18,9,Maple Leaf Journeys,20,Hotel Negresco Nice,Accommodation,Nice,4,Jean-Luc Bernard,Cancelled,2,14,3611.07,2708.0,EUR
BK-005005,2021-01-28,2021-04-09,2021-04-10,10,Seoul Wanderers Co.,15,Provence Lavender Tour,Tour,Provence,2,Pierre Martin,Completed,5,0,323.65,236.72,EUR
BK-005006,2021-01-11,2021-02-26,2021-02-27,4,Voyages Lumiere,5,Wine Tasting Bordeaux,Tour,Bordeaux,5,Camille Moreau,Completed,10,1,604.71,361.84,EUR
BK-005007,2021-01-11,2021-03-31,2021-04-01,19,Amazon Corp Travel,10,Mont Blanc Excursion,Tour,Chamonix,6,Nicolas Petit,Completed,6,1,1162.79,688.56,EUR
BK-005008,2021-01-26,2021-02-24,2021-02-26,12,Kiwi Adventures Ltd,14,Versailles Day Trip,Tour,Versailles,3,Sophie Laurent,Completed,11,2,1759.41,1353.82,EUR
BK-005009,2021-01-12,2021-02-21,2021-03-02,4,Voyages Lumiere,16,Hotel Vieux Lyon,Accommodation,Lyon,3,Sophie Laurent,Cancelled,11,9,24135.16,18353.54,EUR
BK-005010,2021-01-05,2021-03-15,2021-03-17,3,Pacific Coast Tours,7,Nice Coastal Tour,Tour,Nice,2,Pierre Martin,Completed,1,2,177.44,125.61,EUR
BK-005011,2021-01-19,2021-03-12,2021-03-13,2,Alpine Adventures GmbH,19,Ski Package Alps,Tour,Chamonix,5,Camille Moreau,Completed,9,1,1656.88,1134.83,EUR
BK-005012,2021-01-05,2021-02-21,2021-02-22,8,Nordic Explorers AB,13,Private Car Service,Transfer,Multi-city,5,Camille Moreau,Completed,3,0,257.29,174.34,EUR
BK-005013,2021-01-17,2021-01-19,2021-02-02,20,Swiss Premium Tours,8,Hotel Promenade Nice,Accommodation,Nice,3,Sophie Laurent,Completed,9,14,14855.41,8761.8,EUR
BK-005014,2021-01-19,2021-04-14,2021-04-17,12,Kiwi Adventures Ltd,5,Wine Tasting Bordeaux,Tour,Bordeaux,1,Marie Dubois,Completed,4,3,656.88,399.34,EUR
BK-005015,2021-01-08,2021-01-14,2021-01-16,13,Direct Client - Walk-in,7,Nice Coastal Tour,Tour,Nice,8,Thomas Roux,Completed,8,2,1457.86,816.37,EUR
BK-005016,2021-01-04,2021-03-12,2021-03-14,19,Amazon Corp Travel,9,Lyon Food Tour,Tour,Lyon,3,Sophie Laurent,Completed,7,2,1036.36,664.64,EUR
BK-005017,2021-01-27,2021-02-06,2021-02-08,13,Direct Client - Walk-in,17,Strasbourg Christmas Tour,Tour,Strasbourg,4,Jean-Luc Bernard,Completed,9,2,997.89,752.72,EUR
BK-005018,2021-01-26,2021-03-29,2021-03-30,17,Andalucia Sun Tours,20,Hotel Negresco Nice,Accommodation,Nice,3,Sophie Laurent,Completed,8,1,997.71,567.97,EUR
BK-005019,2021-01-07,2021-01-27,2021-01-30,12,Kiwi Adventures Ltd,6,Chateau Stay Bordeaux,Accommodation,Bordeaux,2,Pierre Martin,Completed,11,3,4692.39,3532.4,EUR
BK-005020,2021-01-16,2021-04-13,2021-04-21,7,Beijing Star International,16,Hotel Vieux Lyon,Accommodation,Lyon,3,Sophie Laurent,Completed,11,8,26840.75,14913.03,EUR
BK-005021,2021-01-19,2021-04-05,2021-04-08,17,Andalucia Sun Tours,6,Chateau Stay Bordeaux,Accommodation,Bordeaux,1,Marie Dubois,Cancelled,10,3,3589.61,2123.56,EUR
BK-005022,2021-01-17,2021-03-10,2021-03-20,1,Sakura Travel Group,20,Hotel Negresco Nice,Accommodation,Nice,5,Camille Moreau,Completed,2,10,2769.6,1943.24,EUR
BK-005023,2021-01-16,2021-02-07,2021-02-21,14,Direct Client - Web,8,Hotel Promenade Nice,Accommodation,Nice,3,Sophie Laurent,Completed,10,14,42213.13,25136.7,EUR
BK-005024,2021-01-09,2021-01-31,2021-02-03,20,Swiss Premium Tours,11,D-Day Normandy Tour,Tour,Normandy,2,Pierre Martin,Completed,4,3,426.93,248.92,EUR
BK-005025,2021-01-17,2021-03-23,2021-03-24,20,Swiss Premium Tours,14,Versailles Day Trip,Tour,Versailles,2,Pierre Martin,Completed,3,1,364.14,256.24,EUR
BK-005026,2021-01-26,2021-04-05,2021-04-06,3,Pacific Coast Tours,17,Strasbourg Christmas Tour,Tour,Strasbourg,8,Thomas Roux,Completed,11,0,765.04,536.19,EUR
BK-005027,2021-01-29,2021-04-26,2021-04-29,12,Kiwi Adventures Ltd,14,Versailles Day Trip,Tour,Versailles,1,Marie Dubois,Completed,12,3,1553.67,943.65,EUR
BK-005028,2021-01-26,2021-03-16,2021-03-17,19,Amazon Corp Travel,12,TGV Train Booking,Transfer,Multi-city,2,Pierre Martin,Completed,7,0,322.46,215.82,EUR
